problem_id,total_mutants,num_clusters,representatives,compression_ratio_mutants_per_representative,mean_cluster_size,layer1_max_calls,layer1_actual_calls,layer2_actual_calls,layer3_actual_calls
EvoEval_creative/0,25,5,5,5.0,5.0,3,3,1,0
EvoEval_creative/10,22,2,2,11.0,11.0,3,3,3,0
EvoEval_creative/11,16,5,5,3.2,3.2,3,3,1,0
EvoEval_creative/12,4,3,3,1.3333333333333333,1.3333333333333333,3,1,0,0
EvoEval_creative/13,9,5,5,1.8,1.8,3,3,1,1
EvoEval_creative/14,14,5,5,2.8,2.8,3,1,0,0
EvoEval_creative/15,25,4,4,6.25,6.25,3,3,5,2
EvoEval_creative/16,24,5,5,4.8,4.8,3,3,1,2
EvoEval_creative/17,13,5,5,2.6,2.6,3,3,1,0
EvoEval_creative/18,21,5,5,4.2,4.2,3,1,0,0
EvoEval_creative/19,19,5,5,3.8,3.8,3,1,0,0
EvoEval_creative/1,25,5,5,5.0,5.0,3,3,2,1
EvoEval_creative/20,22,2,2,11.0,11.0,3,1,0,0
EvoEval_creative/21,21,5,5,4.2,4.2,3,3,2,1
EvoEval_creative/22,25,5,5,5.0,5.0,3,1,0,0
EvoEval_creative/23,25,5,5,5.0,5.0,3,3,2,1
EvoEval_creative/24,2,1,1,2.0,2.0,3,1,0,0
EvoEval_creative/25,11,4,4,2.75,2.75,3,3,1,1
EvoEval_creative/26,24,2,2,12.0,12.0,3,3,6,1
EvoEval_creative/27,6,3,3,2.0,2.0,3,1,0,0
EvoEval_creative/28,25,2,2,12.5,12.5,3,3,1,1
EvoEval_creative/29,13,5,5,2.6,2.6,3,3,1,1
EvoEval_creative/2,16,5,5,3.2,3.2,3,1,0,0
EvoEval_creative/30,24,2,2,12.0,12.0,3,3,5,1
EvoEval_creative/31,21,5,5,4.2,4.2,3,1,0,0
EvoEval_creative/32,23,5,5,4.6,4.6,3,3,1,0
EvoEval_creative/33,25,5,5,5.0,5.0,3,3,1,1
EvoEval_creative/34,24,2,2,12.0,12.0,3,3,2,2
EvoEval_creative/35,21,5,5,4.2,4.2,3,3,2,2
EvoEval_creative/36,8,4,4,2.0,2.0,3,1,0,0
EvoEval_creative/37,25,5,5,5.0,5.0,3,3,4,0
EvoEval_creative/38,3,2,2,1.5,1.5,3,1,0,0
EvoEval_creative/39,9,3,3,3.0,3.0,3,3,1,1
EvoEval_creative/3,23,5,5,4.6,4.6,3,3,1,0
EvoEval_creative/40,21,5,5,4.2,4.2,3,3,1,1
EvoEval_creative/41,22,5,5,4.4,4.4,3,3,3,2
EvoEval_creative/42,20,5,5,4.0,4.0,3,1,0,0
EvoEval_creative/43,18,5,5,3.6,3.6,3,3,1,0
EvoEval_creative/44,10,5,5,2.0,2.0,3,3,1,1
EvoEval_creative/45,5,3,3,1.6666666666666667,1.6666666666666667,3,1,0,0
EvoEval_creative/46,5,3,3,1.6666666666666667,1.6666666666666667,3,1,0,0
EvoEval_creative/47,10,4,4,2.5,2.5,3,3,2,1
EvoEval_creative/48,9,4,4,2.25,2.25,3,1,0,0
EvoEval_creative/49,4,2,2,2.0,2.0,3,1,0,0
EvoEval_creative/4,18,5,5,3.6,3.6,3,3,1,2
EvoEval_creative/5,12,5,5,2.4,2.4,3,1,0,0
EvoEval_creative/6,24,5,5,4.8,4.8,3,3,6,1
EvoEval_creative/7,25,4,4,6.25,6.25,3,1,0,0
EvoEval_creative/8,25,5,5,5.0,5.0,3,3,1,0
EvoEval_creative/9,9,5,5,1.8,1.8,3,1,0,0
