problem_id,mutant_generation_sec,probe_generation_sec,behavior_signature_sec,clustering_sec,representative_selection_sec,total_problem_sec
EvoEval_creative/0,0.3473,0.0004,13.446,0.0715,0.0715,188.948
EvoEval_creative/10,0.1766,0.0003,9.937,0.01,0.01,190.482
EvoEval_creative/11,0.0591,0.0004,8.9676,0.0128,0.0128,135.416
EvoEval_creative/12,0.0106,0.0004,2.1488,0.0055,0.0055,21.044
EvoEval_creative/13,0.0435,0.0003,4.2345,0.0113,0.0113,184.092
EvoEval_creative/14,0.1312,0.0003,6.5218,0.0139,0.0139,29.864
EvoEval_creative/15,1.0343,0.0005,13.6388,0.0116,0.0116,308.864
EvoEval_creative/16,0.2364,0.0001,12.8152,0.0128,0.0128,217.687
EvoEval_creative/17,0.0327,0.0004,7.2659,0.0121,0.0121,96.254
EvoEval_creative/18,0.0749,0.0004,42.5761,0.0143,0.0143,148.335
EvoEval_creative/19,0.1381,0.0004,10.4409,0.0144,0.0144,115.041
EvoEval_creative/1,0.3051,0.0004,13.4507,0.0126,0.0126,259.426
EvoEval_creative/20,1.251,0.0003,9.9963,0.011,0.011,54.196
EvoEval_creative/21,0.2216,0.0004,11.4842,0.0129,0.0129,216.834
EvoEval_creative/22,0.0328,0.0005,11.2812,0.0122,0.0122,115.387
EvoEval_creative/23,0.4526,0.0003,31.605,0.013,0.013,465.195
EvoEval_creative/24,0.0051,0.0004,1.5774,0.0027,0.0027,26.964
EvoEval_creative/25,0.0416,0.0004,6.2267,0.0124,0.0124,201.314
EvoEval_creative/26,0.5645,0.0005,13.8428,0.0097,0.0097,991.759
EvoEval_creative/27,0.0269,0.0003,3.6006,0.0095,0.0095,36.211
EvoEval_creative/28,0.4833,0.0004,13.4511,0.0098,0.0098,200.248
EvoEval_creative/29,0.083,0.0004,7.2427,0.0116,0.0116,169.024
EvoEval_creative/2,0.2322,0.0004,17.9065,0.0144,0.0144,134.137
EvoEval_creative/30,0.6783,0.0005,10.8655,0.0095,0.0095,1304.009
EvoEval_creative/31,0.3971,0.0004,11.1573,0.0139,0.0139,82.135
EvoEval_creative/32,0.0801,0.0004,12.3144,0.0124,0.0124,177.964
EvoEval_creative/33,0.1781,0.0004,13.3167,0.0128,0.0128,169.457
EvoEval_creative/34,0.8279,0.0005,12.7053,0.009,0.009,342.661
EvoEval_creative/35,0.1078,0.0004,11.2304,0.0124,0.0124,353.287
EvoEval_creative/36,0.0113,0.0004,4.5796,0.0116,0.0116,29.824
EvoEval_creative/37,0.3526,0.0004,13.3191,0.0132,0.0132,217.228
EvoEval_creative/38,0.0081,0.0005,2.0863,0.0038,0.0038,25.174
EvoEval_creative/39,0.0185,0.0005,5.1005,0.0104,0.0104,123.569
EvoEval_creative/3,1.1189,0.0003,12.5149,0.0144,0.0144,131.094
EvoEval_creative/40,0.7014,0.0006,11.2911,0.0127,0.0127,425.407
EvoEval_creative/41,0.6176,0.0004,7.924,0.0138,0.0138,934.797
EvoEval_creative/42,0.0526,0.001,10.6731,0.0127,0.0127,57.41
EvoEval_creative/43,0.0652,0.0005,9.6842,0.0115,0.0115,109.165
EvoEval_creative/44,0.0208,0.0009,5.6457,0.0104,0.0104,198.365
EvoEval_creative/45,0.0035,0.0046,3.0867,0.008,0.008,34.061
EvoEval_creative/46,0.0243,0.0007,3.036,0.0075,0.0075,47.882
EvoEval_creative/47,0.0186,0.0008,3.6858,0.0106,0.0106,240.824
EvoEval_creative/48,0.044,0.0008,5.1254,0.0137,0.0137,52.696
EvoEval_creative/49,0.024,0.0004,1.7065,0.0058,0.0058,52.188
EvoEval_creative/4,0.0631,0.0004,9.8378,0.0129,0.0129,187.499
EvoEval_creative/5,0.0386,0.0003,5.9463,0.0124,0.0124,47.802
EvoEval_creative/6,1.9617,0.0004,13.4302,0.0133,0.0133,692.64
EvoEval_creative/7,0.3693,0.0004,13.4612,0.0122,0.0122,76.726
EvoEval_creative/8,0.9994,0.0003,13.6379,0.0123,0.0123,154.129
EvoEval_creative/9,0.0583,0.0003,5.2337,0.0099,0.0099,34.897
